Appleby	1.   Appleby Castle,  Lord Hothfield: [on deposit at Leeds, Yorkshire Archaeological Society DD 121/109]    [1 records] 	Appleby Castle
ArmaghReg	1.   Armagh,  Armagh Diocesan Registry: Bishop John Swayne’s Register    [1 records] 	Armagh
ArrBM184	1.   Arras,  Bibliothèque municipale, Arras: 184 (254)    [7 records] 	Arras
ArunHar	1.   Arundel Castle,  Duke of Norfolk: MS Arundel-Harrington    [3 records] 	Arundel Castle
ArunPrick	2.   Arundel Castle,  Duke of Norfolk: MS Prick of Conscience   	Arundel Castle
ArunLives	3.   Arundel Castle,  Duke of Norfolk: MS Lives of Sts Edmund and Fremund    [1 records] 	Arundel Castle
Austin8	1.   Austin,  University of Texas, Humanities Research Center: HRC Pre-1700 MS 8 [olim Ashburnham; olim Sotheran]    [1 records] 	Austin
Austin46	2.   Austin,  University of Texas, Humanities Research Center: HRC Pre-1700 MS 46 [olim Chicago, Newberry Library, Louis H. Silver 2;                prior Philadelphia, Rosenbach Museum and Library 159, prior Phillipps            6750]    [9 records] 	Austin
Austin143	3.   Austin,  University of Texas, Humanities Research Center: HRC Pre-1700 MS 143 [olim Deene Park; post Cardigan-Brudenell, sold            Sotheby’s, Feb. 1959]    [55 records] 	Austin
Aylesford	1.   Aylesford,  Earl of Aylesford: Kings of England roll    [2 records] 	Aylesford
Badminton	1.   Badminton,  Duke of Beaufort: MS 704.1.16    [1 records] 	Badminton
Basel	1.   Basel,  Basel University Library: B.VIII.4    [4 records] 	Basel
Cox	1.   Beaminster, Dorset,  J. Stevens Cox: [olim Harmsworth; Sotheby Sale, Oct., 1945, lot 1956], now privately            owned    [3 records] 	Beaminster, Dorset
Belfast	1.   Belfast,  Queen’s University: 3/11B    [1 records] 	Belfast
Belvoir	1.   Belvoir Castle,  Duke of Rutland:                Fall of Princes MS    [1 records] 	Belvoir Castle
Berkeley	1.   Berkeley,  University of California: 75 [olim Phillipps 8118; olim Bodmer; olim John Gribbel,            Philadelphia; sold Sotheby’s 4 Dec. 1962, lot 131]    [1 records] 	Berkeley
BerlinTheol	1.   Berlin,  Staatsbibl. Berlin: Theol. lat. fol 249    [5 records] 	Berlin
BerlinPhill	2.   Berlin,  Staatsbibl. Berlin: Phill. 1904    [1 records] 	Berlin
NatLibMed49	1.   Bethesda, MD,  National Library of Medicine: 49    [1 records] 	Bethesda, MD
NatLibMed514	2.   Bethesda, MD,  National Library of Medicine: MS E 4 [formerly 514; olim MS. 4]    [4 records] 	Bethesda, MD
Blackburn	1.   Blackburn,  Blackburn, Museum and Art Gallery: MS 091.21040 [olim Petworth 3]    [1 records] 	Blackburn
BosHistSoc	1.   Boston, MA,  Massachusetts Historical Society: Winthrop 20 C    [9 records] 	Boston, MA
BosMedLib	2.   Boston, MA,  Medical Library, Boston: 23    [1 records] 	Boston, MA
BosPLMed92	3.   Boston, MA,  Boston Public Library: med. 92 (1519) [olim Gurney]    [2 records] 	Boston, MA
BosPLMed94	4.   Boston, MA,  Boston Public Library: med. 94 (1521) [olim Campbell; Robinson Sale Cat. 74, 1944, No. 268 and            Robinson Sale Cat. 76, 1947, No. 233]    [5 records] 	Boston, MA
