City,latitude,longitude,Shelfmark,MS,Fake date
Arundel Castle,50.85632492312587,-0.5539145273316979,ArunHar,"Arundel Castle,  Duke of Norfolk: MS Arundel-Harrington",1312-6-1
Arundel Castle,50.85632492312587,-0.5539145273316979,ArunPrick,"Arundel Castle,  Duke of Norfolk: MS Prick of Conscience",1374-3-3
Arundel Castle,50.85632492312587,-0.5539145273316979,ArunLives,"Arundel Castle,  Duke of Norfolk: MS Lives of Sts Edmund and Fremund",1325-5-15
Austin,30.284295304365482,-97.74119954319228,Austin8,"University of Texas, Humanities Research Center: HRC Pre-1700 MS 8",1347-8-3
Austin,30.284295304365482,-97.74119954319228,Austin46,"University of Texas, Humanities Research Center: HRC Pre-1700 MS 46",1374-1-26
Austin,30.284295304365482,-97.74119954319228,Austin143,"University of Texas, Humanities Research Center: HRC Pre-1700 MS 143",1381-3-10
Aylesford,51.30453361692894,0.47808423953321366,Aylesford,Earl of Aylesford: Kings of England roll,1335-6-27
Badminton,51.54102989161495,-2.283370292445787,Badminton,Duke of Beaufort: MS 704.1.16,1368-10-7
Basel,47.55963875857685,7.580820771080274,Basel,Basel University Library: B.VIII.4,1336-8-22
"Beaminster, Dorset",50.81030987809015,-2.7432056908617946,Cox,"Dorset,  J. Stevens Cox:",1334-5-8
Belfast,54.59702968626353,-5.930405529003947,Belfast,Queen’s University: 3/11B,1398-1-14
Belvoir Castle,52.894739687272896,-0.7824282003820677,Belvoir,"Belvoir Castle,  Duke of Rutland:                Fall of Princes MS",1305-11-12
Berkeley,37.8717485619926,-122.26062700501987,Berkeley,University of California: 75,1383-4-3
Berlin,52.50880278250514,13.391774820130019,BerlinTheol,Staatsbibl. Berlin: Theol. lat. fol 249,1337-5-20
Berlin,52.50880278250514,13.391774820130019,BerlinPhill,Staatsbibl. Berlin: Phill. 1904,1317-11-19
"Bethesda, MD",38.98419665306475,-77.0957591155772,NatLibMed49,"MD,  National Library of Medicine: 49",1314-7-1
"Bethesda, MD",38.98419665306475,-77.0957591155772,NatLibMed514,"MD,  National Library of Medicine: MS E 4",1327-5-1
Blackburn,53.7504563039372,-2.4842042708687733,Blackburn,"Blackburn, Museum and Art Gallery: MS 091.21040",1348-2-8
"Boston, MA",42.346422947793435,-71.08992581468588,BosHistSoc,"MA,  Massachusetts Historical Society: Winthrop 20 C",1354-8-3
"Boston, MA",42.346422947793435,-71.08992581468588,BosMedLib,"MA,  Medical Library, Boston: 23",1300-2-14
"Boston, MA",42.346422947793435,-71.08992581468588,BosPLMed92,"MA,  Boston Public Library: med. 92 (1519)",1390-4-13
"Boston, MA",42.346422947793435,-71.08992581468588,BosPLMed94,"MA,  Boston Public Library: med. 94 (1521)",1340-10-21
"Boston, MA",42.346422947793435,-71.08992581468588,BosPLMed100,"MA,  Boston Public Library: med. 100 (1527)",1371-10-9
"Boston, MA",42.346422947793435,-71.08992581468588,BosPLMed124,"MA,  Boston Public Library: med. 124 (1546)",1393-9-23
Brechin Castle,56.72693699388974,-2.6676790259077827,BrechinFordun,"Brechin Castle,  Earl of Dalhousie: Fordun’s Chronicle, on deposit at Edinburgh, Scottish Record Office, MS            GD5/26/48",1329-9-26
Brechin Castle,56.72693699388974,-2.6676790259077827,BrechinWintoun,"Brechin Castle,  Earl of Dalhousie: Wintoun’s Chronicle",1311-6-5
Brechin Castle,56.72693699388974,-2.6676790259077827,BrechinSTC3215,"Brechin Castle,  Earl of Dalhousie: John Barbour, Buik of Alexander the grit,",1332-2-26
Bristol,51.45424112026422,-2.5876928844042744,BristolAS2,"All Saints Church, Bristol: MS 2",1304-11-5
Bristol,51.45424112026422,-2.5876928844042744,BristolAvon,Avon County Library: MS 10,1390-7-4
Bristol,51.45424112026422,-2.5876928844042744,BristolClifton,Clifton College: Norton’s Ordinal of Alchemy,1366-9-27
Brussels,50.85168922913808,4.35114779503865,BrusselsIV231,"Bibliothèque Royale, Belgium: IV.231",1316-9-7
Brussels,50.85168922913808,4.35114779503865,Brussels2054,"Bibliothèque Royale, Belgium: 2054",1399-6-10
Brussels,50.85168922913808,4.35114779503865,Brussels4628,"Bibliothèque Royale, Belgium: 7396 (Van den Gheyn Cat. 4628)",1397-10-12
Bute,51.483576377987085,-3.179150200379066,ButeConf,"Marquess of Bute:                olimBute, now privately owned",1375-7-26
Bute,51.483576377987085,-3.179150200379066,Buteolim,"Marquess of Bute:                olimBute, Christie’s Sale 13 June 1983",1319-11-10
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng515,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 515",1337-4-25
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng530,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 530",1362-7-21
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng532,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 532F",1335-5-2
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng587,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 587",1384-5-6
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng590,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 590",1399-9-1
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng752,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 752",1349-7-14
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng766,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 766",1387-2-16
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng1031,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 1031",1334-5-21
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng1032,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 1032",1342-4-16
Cambridge MA,42.37308458534128,-71.1159436152349,HarEng1054,"Cambridge MA,  Harvard University, Houghton Library,: Eng. 1054",1305-2-16
Cambridge MA,42.37308458534128,-71.1159436152349,HarLat394,"Cambridge MA,  Harvard University, Houghton Library,: Lat. 394",1343-10-24
Cambridge MA,42.37308458534128,-71.1159436152349,HarRich22,"Cambridge MA,  Harvard University, Houghton Library,: Richardson 22",1386-2-10
Cambridge MA,42.37308458534128,-71.1159436152349,HarRich35,"Cambridge MA,  Harvard University, Houghton Library,: Richardson 35",1319-11-13
Cambridge MA,42.37308458534128,-71.1159436152349,HarRich44,"Cambridge MA,  Harvard University, Houghton Library,: Richardson 44",1368-7-21
Cambridge MA,42.37308458534128,-71.1159436152349,HarTYP193,"Cambridge MA,  Harvard University, Houghton Library,: TYP 193",1370-9-8
Cambridge MA,42.37308458534128,-71.1159436152349,HarLaw6,"Cambridge MA,  Harvard University, Law School Library: MS 6",1350-10-6
Cambridge MA,42.37308458534128,-71.1159436152349,HarLaw58,"Cambridge MA,  Harvard University, Law School Library: MS 58",1305-5-10
Cambridge MA,42.37308458534128,-71.1159436152349,HarWid1,"Cambridge MA,  Harvard University, Widener Library: MS 1",1324-11-11
Cambridge MA,42.37308458534128,-71.1159436152349,Har25258,"Cambridge MA,  Harvard University: H.C.L. 25258.27.5",1342-10-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd707,"Cambridge UK,  Cambridge University Library: Addit. 707 (fragment)",1351-7-25
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2585,"Cambridge UK,  Cambridge University Library: Addit. 2585, Part I",1356-5-11
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2585b,"Cambridge UK,  Cambridge University Library: Addit. 2585, Part II",1329-8-26
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2585c,"Cambridge UK,  Cambridge University Library: Addit. 2585, Part III",1350-3-16
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2604,"Cambridge UK,  Cambridge University Library: Addit. 2604",1366-6-3
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2750,"Cambridge UK,  Cambridge University Library: Addit. 2750",1369-2-23
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2764,"Cambridge UK,  Cambridge University Library: Addit. 2764",1378-8-12
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2793,"Cambridge UK,  Cambridge University Library: Addit. 2793",1370-2-20
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2794,"Cambridge UK,  Cambridge University Library: Addit. 2794",1320-7-1
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2823,"Cambridge UK,  Cambridge University Library: Addit. 2823",1377-2-18
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd2829,"Cambridge UK,  Cambridge University Library: Addit. 2829",1371-8-6
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd3039,"Cambridge UK,  Cambridge University Library: Addit. 3039",1356-1-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd3042,"Cambridge UK,  Cambridge University Library: Addit. 3042",1322-2-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd3137,"Cambridge UK,  Cambridge University Library: Addit. 3137",1338-5-20
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd3573,"Cambridge UK,  Cambridge University Library: Addit. 3573",1308-7-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4026,"Cambridge UK,  Cambridge University Library: Addit. 4026",1386-7-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4120,"Cambridge UK,  Cambridge University Library: Addit. 4120",1351-2-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4122,"Cambridge UK,  Cambridge University Library: Addit. 4122",1397-5-9
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4325,"Cambridge UK,  Cambridge University Library: Addit. 4325",1342-5-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4407a,"Cambridge UK,  Cambridge University Library: Addit. 4407 (19)a-c",1348-4-6
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4407b,"Cambridge UK,  Cambridge University Library: Addit. 4407 (19)d-f",1316-8-15
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4407c,"Cambridge UK,  Cambridge University Library: Addit. 4407 (19)g",1372-1-4
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4407d,"Cambridge UK,  Cambridge University Library: Addit. 4407 (19)h",1395-6-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4407e,"Cambridge UK,  Cambridge University Library: Addit. 4407 (27)",1356-1-12
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd4544,"Cambridge UK,  Cambridge University Library: Addit. 4544",1365-8-23
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd5943,"Cambridge UK,  Cambridge University Library: Addit. 5943",1368-10-13
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6150,"Cambridge UK,  Cambridge University Library: Addit. 6150",1389-9-12
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6578,"Cambridge UK,  Cambridge University Library: Addit. 6578",1336-8-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6686,"Cambridge UK,  Cambridge University Library: Addit. 6686",1381-3-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6693,"Cambridge UK,  Cambridge University Library: Addit. 6693",1395-7-14
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6860,"Cambridge UK,  Cambridge University Library: Addit. 6860",1319-11-25
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6864,"Cambridge UK,  Cambridge University Library: Addit. 6864",1386-11-16
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd6865,"Cambridge UK,  Cambridge University Library: Addit. 6865",1326-1-23
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd7350,"Cambridge UK,  Cambridge University Library: Addit. 7350, Part I",1313-6-14
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd8335,"Cambridge UK,  Cambridge University Library: Addit. 8335",1362-4-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULAdd9308,"Cambridge UK,  Cambridge University Library: Addit. 9308",1312-11-12
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd11,"Cambridge UK,  Cambridge University Library: Dd.1.1",1320-4-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd117,"Cambridge UK,  Cambridge University Library: Dd.1.17",1395-11-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd25,"Cambridge UK,  Cambridge University Library: Dd.2.5",1319-7-23
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd313,"Cambridge UK,  Cambridge University Library: Dd.3.13",1324-7-18
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd424,"Cambridge UK,  Cambridge University Library: Dd.4.24",1356-7-13
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd426,"Cambridge UK,  Cambridge University Library: Dd.4.26",1374-10-6
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd445,"Cambridge UK,  Cambridge University Library: Dd.4.45",1360-1-25
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd450,"Cambridge UK,  Cambridge University Library: Dd.4.50",1395-3-22
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd451,"Cambridge UK,  Cambridge University Library: Dd.4.51",1307-5-4
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd454,"Cambridge UK,  Cambridge University Library: Dd.4.54",1384-5-3
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd555,"Cambridge UK,  Cambridge University Library: Dd.5.55",1378-5-10
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd564,"Cambridge UK,  Cambridge University Library: Dd.5.64",1351-10-26
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd575,"Cambridge UK,  Cambridge University Library: Dd.5.75",1314-9-11
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd576,"Cambridge UK,  Cambridge University Library: Dd.5.76",1383-6-9
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd61,"Cambridge UK,  Cambridge University Library: Dd.6.1",1338-6-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd69,"Cambridge UK,  Cambridge University Library: Dd.6.9",1367-2-12
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd645,"Cambridge UK,  Cambridge University Library: Dd.6.45",1309-11-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd76,"Cambridge UK,  Cambridge University Library: Dd.7.6",1319-9-10
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd714,"Cambridge UK,  Cambridge University Library: Dd.7.14",1372-9-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd82,"Cambridge UK,  Cambridge University Library: Dd.8.2",1346-1-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd819,"Cambridge UK,  Cambridge University Library: Dd.8.19",1395-4-16
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd938,"Cambridge UK,  Cambridge University Library: Dd.9.38",1356-5-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1015,"Cambridge UK,  Cambridge University Library: Dd.10.15",1352-7-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1044,"Cambridge UK,  Cambridge University Library: Dd.10.44",1361-6-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1050,"Cambridge UK,  Cambridge University Library: Dd.10.50",1378-7-8
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1182,"Cambridge UK,  Cambridge University Library: Dd.11.82",1339-4-7
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1189,"Cambridge UK,  Cambridge University Library: Dd.11.89",1377-2-20
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1239,"Cambridge UK,  Cambridge University Library: Dd.12.39",1395-5-17
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1269,"Cambridge UK,  Cambridge University Library: Dd.12.69",1323-9-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1327,"Cambridge UK,  Cambridge University Library: Dd.13.27",1374-4-18
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd142,"Cambridge UK,  Cambridge University Library: Dd.14.2",1311-6-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULDd1426,"Cambridge UK,  Cambridge University Library: Dd.14.26",1395-3-7
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe11,"Cambridge UK,  Cambridge University Library: Ee.1.1",1324-5-14
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe15,"Cambridge UK,  Cambridge University Library: Ee.1.5",1353-6-1
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe112,"Cambridge UK,  Cambridge University Library: Ee.1.12",1302-10-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe115,"Cambridge UK,  Cambridge University Library: Ee.1.15",1368-1-13
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe215,"Cambridge UK,  Cambridge University Library: Ee.2.15",1350-2-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe228,"Cambridge UK,  Cambridge University Library: Ee.2.28",1305-11-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe419,"Cambridge UK,  Cambridge University Library: Ee.4.19",1362-1-17
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe420,"Cambridge UK,  Cambridge University Library: Ee.4.20",1303-1-22
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe431,"Cambridge UK,  Cambridge University Library: Ee.4.31",1372-3-24
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe435a,"Cambridge UK,  Cambridge University Library: Ee.4.35, Part I",1375-9-18
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe435b,"Cambridge UK,  Cambridge University Library: Ee.4.35, Part II",1300-2-23
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe437,"Cambridge UK,  Cambridge University Library: Ee.4.37",1304-2-2
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe513,"Cambridge UK,  Cambridge University Library: Ee.5.13",1381-11-6
Cambridge UK,52.205622281043695,0.11167126337306933,CULEe629,"Cambridge UK,  Cambridge University Library: Ee.6.29",1374-10-15
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf16,"Cambridge UK,  Cambridge University Library: Ff.1.6",1333-10-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf114,"Cambridge UK,  Cambridge University Library: Ff.1.14",1390-7-21
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf117,"Cambridge UK,  Cambridge University Library: Ff.1.17",1347-1-16
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf127,"Cambridge UK,  Cambridge University Library: Ff.1.27",1304-5-8
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf223,"Cambridge UK,  Cambridge University Library: Ff.2.23",1386-10-5
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf238,"Cambridge UK,  Cambridge University Library: Ff.2.38",1359-5-27
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf49,"Cambridge UK,  Cambridge University Library: Ff.4.9",1396-9-11
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf55,"Cambridge UK,  Cambridge University Library: Ff.5.5",1393-2-26
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf530,"Cambridge UK,  Cambridge University Library: Ff.5.30",1394-8-26
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf535,"Cambridge UK,  Cambridge University Library: Ff.5.35",1395-6-11
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf536,"Cambridge UK,  Cambridge University Library: Ff.5.36",1365-10-3
Cambridge UK,52.205622281043695,0.11167126337306933,CULFf540,"Cambridge UK,  Cambridge University Library: Ff.5.40",1394-1-21
