ID,Label,Type
Claudius AIII,Claudius AIII,Book
Titus EIX,Titus EIX,Book
Vespasian AXII,Vespasian AXII,Book
Julius CVIII,Julius CVIII,Book
Vitellius DXI,Vitellius DXI,Book
Titus CV,Titus CV,Book
Vitellius CIV,Vitellius CIV,Book
Julius AXI,Julius AXI,Book
Vespasian BXIX,Vespasian BXIX,Book
Julius EVIII,Julius EVIII,Book
Tiberius AI,Tiberius AI,Book
Galba CVI,Galba CVI,Book
Domitian VIII,Domitian VIII,Book
Titus DXI,Titus DXI,Book
Augustus I,Augustus I,Book
Cleopatra AXII,Cleopatra AXII,Book
Faustina AV,Faustina AV,Book
Titus BIII,Titus BIII,Book
Caligula BIV,Caligula BIV,Book
Vitellius DIX,Vitellius DIX,Book
Nero BIII,Nero BIII,Book
Otho BXIII,Otho BXIII,Book
Claudius EI,Claudius EI,Book
Titus EVII,Titus EVII,Book
Claudius BVI,Claudius BVI,Book
Tiberius BVII,Tiberius BVII,Book
Cleopatra BXII,Cleopatra BXII,Book
Tiberius EIV,Tiberius EIV,Book
Otho EVI,Otho EVI,Book
Tiberius AII,Tiberius AII,Book
Claudius BII,Claudius BII,Book
Nero DII,Nero DII,Book
Claudius CIII,Claudius CIII,Book
Galba CIII,Galba CIII,Book
Vespasian CII,Vespasian CII,Book
Cleopatra DI,Cleopatra DI,Book
Galba DXI,Galba DXI,Book
Domitian III,Domitian III,Book
Vespasian DXXI,Vespasian DXXI,Book
Galba BIV,Galba BIV,Book
Julius CV,Julius CV,Book
Titus EVIII,Titus EVIII,Book
Otho CXIV,Otho CXIV,Book
Titus FIV,Titus FIV,Book
Appendix XXXIX,Appendix XXXIX,Book
Claudius DVIII,Claudius DVIII,Book
Galba AX,Galba AX,Book
Caligula EXI,Caligula EXI,Book
Augustus II,Augustus II,Book
Vespasian AXXII,Vespasian AXXII,Book
Galba DXII,Galba DXII,Book
Vitellius CXI,Vitellius CXI,Book
Julius AI,Julius AI,Book
Claudius DX,Claudius DX,Book
Claudius AI,Claudius AI,Book
Titus BXII,Titus BXII,Book
Otho DI,Otho DI,Book
Vespasian BII,Vespasian BII,Book
