ID|Name|Location|Repository
BodArcSelB24|Bodleian Library: Arch. Selden B. 24 (SC 3354)|Oxford|Bodleian Library
BodArcSelB26|Bodleian Library: Arch. Selden B. 26 (SC 3340)|Oxford|Bodleian Library
BodArcSelC813|Bodleian Library: Arch. Selden C. 813|Oxford|Bodleian Library
BodSelSup23|Bodleian Library: Selden Supra 23 (SC 3411)|Oxford|Bodleian Library
BodSelSup52|Bodleian Library: Selden Supra 52 (SC 3440)|Oxford|Bodleian Library
BodSelSup53|Bodleian Library: Selden Supra 53 (SC 3441)|Oxford|Bodleian Library
BodSelSup56|Bodleian Library: Selden Supra 56 (SC 3444)|Oxford|Bodleian Library
BodSelSup73|Bodleian Library: Selden Supra 73 (SC 3461)|Oxford|Bodleian Library
BodSelSup74|Bodleian Library: Selden Supra 74 (SC 3462)|Oxford|Bodleian Library
BodArcSelSup90|Bodleian Library: Selden Supra 90 (SC 3478)|Oxford|Bodleian Library
BodSelSup102|Bodleian Library: Selden Supra 102 (SC 3490b) [Ker Pastedowns 1744, Lewis & McIntosh MV84]|Oxford|Bodleian Library
BodAsh8|Bodleian Library: Ashmole 8 (SC 8465A)|Oxford|Bodleian Library
BodAsh33|Bodleian Library: Ashmole 33 (SC 25166)|Oxford|Bodleian Library
BodAsh34|Bodleian Library: Ashmole 34 (SC 6915)|Oxford|Bodleian Library
BodAsh35|Bodleian Library: Ashmole 35 (SC 6916)|Oxford|Bodleian Library
BodAsh39|Bodleian Library: Ashmole 39 (SC 6919)|Oxford|Bodleian Library
BodAsh40|Bodleian Library: Ashmole 40 (SC 6920)|Oxford|Bodleian Library
BodAsh41|Bodleian Library: Ashmole 41 (SC 6921)|Oxford|Bodleian Library
BodAsh42|Bodleian Library: Ashmole 42 (SC 6923)|Oxford|Bodleian Library
BodAsh43|Bodleian Library: Ashmole 43 (SC 6924)|Oxford|Bodleian Library
BodAsh44|Bodleian Library: Ashmole 44 (SC 6925)|Oxford|Bodleian Library
BodAsh45I|Bodleian Library: Ashmole 45, Part I (SC 6926)|Oxford|Bodleian Library
BodAsh45II|Bodleian Library: Ashmole 45, Part II (SC 6927)|Oxford|Bodleian Library
BodAsh45III|Bodleian Library: Ashmole 45, Part III (SC 6928)|Oxford|Bodleian Library
BodAsh46|Bodleian Library: Ashmole 46 (SC 6930)|Oxford|Bodleian Library
BodAsh48|Bodleian Library: Ashmole 48 (SC 6933)|Oxford|Bodleian Library
BodAsh50|Bodleian Library: Ashmole 50 (SC 6935)|Oxford|Bodleian Library
BodAsh52|Bodleian Library: Ashmole 52 (SC 6936)|Oxford|Bodleian Library
BodAsh53|Bodleian Library: Ashmole 53 (SC 6937)|Oxford|Bodleian Library
BodAsh57|Bodleian Library: Ashmole 57 (SC 6938)|Oxford|Bodleian Library
BodAsh59|Bodleian Library: Ashmole 59 (SC 6943)|Oxford|Bodleian Library
BodAsh60|Bodleian Library: Ashmole 60 (SC 6922)|Oxford|Bodleian Library
BodAsh61|Bodleian Library: Ashmole 61 (SC 6922*)|Oxford|Bodleian Library
BodAsh176|Bodleian Library: Ashmole 176 (SC 6659)|Oxford|Bodleian Library
BodAsh189|Bodleian Library: Ashmole 189 (SC 6777)|Oxford|Bodleian Library
BodAsh191|Bodleian Library: Ashmole 191 (SC 6667)|Oxford|Bodleian Library
BodAsh191IV|Bodleian Library: Ashmole 191, Part IV (SC 6668)|Oxford|Bodleian Library
BodAsh210|Bodleian Library: Ashmole 210 (SC 6795)|Oxford|Bodleian Library
BodAsh241|Bodleian Library: Ashmole 241|Oxford|Bodleian Library
BodAsh337|Bodleian Library: Ashmole 337 (SC 6683)|Oxford|Bodleian Library
BodAsh343IX|Bodleian Library: Ashmole 343, Part IX (SC 6795)|Oxford|Bodleian Library
BodAsh349I|Bodleian Library: Ashmole 349, Part I (SC 6704)|Oxford|Bodleian Library
BodAsh360I|Bodleian Library: Ashmole 360, Part I (no SC number)|Oxford|Bodleian Library
BodAsh360VII|Bodleian Library: Ashmole 360, Part VII (no SC number)|Oxford|Bodleian Library
BodAsh391II|Bodleian Library: Ashmole 391, Part II (SC 6873)|Oxford|Bodleian Library
BodAsh391II5|Bodleian Library: Ashmole 391, Part II.5 (SC 6733)|Oxford|Bodleian Library
BodAsh750|Bodleian Library: Ashmole 750 (SC 6621)|Oxford|Bodleian Library
BodAsh751|Bodleian Library: Ashmole 751 (SC 8193)|Oxford|Bodleian Library
BodAsh754|Bodleian Library: Ashmole 754 (SC 6953)|Oxford|Bodleian Library
BodAsh759|Bodleian Library: Ashmole 759 (SC 6954)|Oxford|Bodleian Library
BodAsh781|Bodleian Library: Ashmole 781 (SC 8113)|Oxford|Bodleian Library
BodAsh970|Bodleian Library: Ashmole 970 (SC 6616)|Oxford|Bodleian Library
BodAsh1113|Bodleian Library: Ashmole 1113 (SC 7391)|Oxford|Bodleian Library
BodAsh1146|Bodleian Library: Ashmole 1146 (SC 8212)|Oxford|Bodleian Library
BodAsh1152|Bodleian Library: Ashmole 1152 (SC 7861)|Oxford|Bodleian Library
BodAsh1280|Bodleian Library: Ashmole 1280 (SC 8216)|Oxford|Bodleian Library
BodAsh1285|Bodleian Library: Ashmole 1285 (SC 8221)|Oxford|Bodleian Library
BodAsh1378|Bodleian Library: Ashmole 1378, Parts II, III (SC 7798)|Oxford|Bodleian Library
BodAsh1379|Bodleian Library: Ashmole 1379 (SC 7683)|Oxford|Bodleian Library
BodAsh1382|Bodleian Library: Ashmole 1382, Part II (SC 7577)|Oxford|Bodleian Library
BodAsh1386|Bodleian Library: Ashmole 1386 (SC 8258)|Oxford|Bodleian Library
BodAsh1393|Bodleian Library: Ashmole 1393 (SC 7589)|Oxford|Bodleian Library
BodAsh1394XIiii|Bodleian Library: Ashmole 1394, Part XI.iii (SC 7596)|Oxford|Bodleian Library
BodAsh1397|Bodleian Library: Ashmole 1397 (SC 7760)|Oxford|Bodleian Library
BodAsh1404|Bodleian Library: Ashmole 1404|Oxford|Bodleian Library
BodAsh1416|Bodleian Library: Ashmole 1416 (SC 7611)|Oxford|Bodleian Library
BodAsh1418|Bodleian Library: Ashmole 1418 (SC 7613)|Oxford|Bodleian Library
BodAsh1438|Bodleian Library: Ashmole 1438, Parts II, III (SC 7707)|Oxford|Bodleian Library
BodAsh1441|Bodleian Library: Ashmole 1441 (SC 7624)|Oxford|Bodleian Library
BodAsh1442|Bodleian Library: Ashmole 1442, Part VI (SC 7625)|Oxford|Bodleian Library
BodAsh1444|Bodleian Library: Ashmole 1444, Part III (SC 7778)|Oxford|Bodleian Library
BodAsh1445|Bodleian Library: Ashmole 1445 (SC 7630)|Oxford|Bodleian Library
BodAsh1448|Bodleian Library: Ashmole 1448 (SC 7627)|Oxford|Bodleian Library
BodAsh1449|Bodleian Library: Ashmole 1449 (SC 7554)|Oxford|Bodleian Library
BodAsh1450|Bodleian Library: Ashmole 1450, Part VII (SC 7628)|Oxford|Bodleian Library
BodAsh1451|Bodleian Library: Ashmole 1451 (SC 8343)|Oxford|Bodleian Library
BodAsh1464|Bodleian Library: Ashmole 1464 (SC 7635)|Oxford|Bodleian Library
BodAsh1468III|Bodleian Library: Ashmole 1468, Part III (SC 8177 [7004 sic])|Oxford|Bodleian Library
BodAsh1477|Bodleian Library: Ashmole 1477, Parts II, III (SC 7719)|Oxford|Bodleian Library
BodAsh1478|Bodleian Library: Ashmole 1478, Parts I, II (SC 7642)|Oxford|Bodleian Library
BodAsh1479|Bodleian Library: Ashmole 1479 (SC 7643)|Oxford|Bodleian Library
BodAsh1480|Bodleian Library: Ashmole 1480 (SC 7644)|Oxford|Bodleian Library
