"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Hagen","47f8b23c-042e-4866-a1da-bdeb0e2ac5a3","","cfb66af0-9ffa-410d-ad17-8766e8e4c9f2",""
"Hoe","Sold to","Huntington","76c7b741-bbe4-4369-adce-7189bcc5e3e1","","cdc71d8e-84e1-44e8-a42b-b44cb36b3e6b",""
"Beckford","Sold to","Hoe","5bd49f3b-45ca-42a8-86b0-7d1d63e1fdb0","","76c7b741-bbe4-4369-adce-7189bcc5e3e1",""
"Lefferts","Sold to","Hagen","07a27d84-c87c-46c8-8015-52240d2e5698","","f5d48071-ba62-49f3-add7-ce69ed76509f",""
"Chew","Sold to","Huntington","a5fefb63-ac26-4326-9821-041f555f6cc3","","4ec920b0-258b-4be1-b2f0-37bbb0738c8a",""
"Huth","Sold to","Hagen","f29a6ec5-5336-4386-94a4-58ab35d0f4ad","","8e33119b-1a58-4c3e-9e9c-8497d17674b2",""
