"source","relation","target","source_id","source_tags","target_id","target_tags"
"Reed","Sold to","Heber","fa33effa-e25b-48c6-802d-5ab6045e7415","","c79f2132-43c9-4057-b46c-ee8c4acb189f",""
"Bridgewater","Sold to","Huntington","f30e19aa-36b7-4067-a6a8-23883466befd","","ac72a7c8-b34f-4c0e-adca-6892b111bc8a",""
"Halsey","Sold to","Huntington","73f5000d-b518-4c6d-8b30-d4262959f0b5","","46442122-d62a-41b0-a99e-3f2c294ea940",""
"Heber","Sold to","Forman","c79f2132-43c9-4057-b46c-ee8c4acb189f","","f3af0730-d9e7-4ef6-8360-234c1511402f",""
