"source","relation","target","source_id","source_tags","target_id","target_tags"
"Heber","Sold to","Huth","df1c2d61-a2c7-407c-bb93-154203844b12","","db029444-6b88-45d8-a5fb-249f3d4d43a0",""
"Lord Auckland","Sold to","Hagen","4bf7cbb6-8522-42f9-ba91-360b2b1ce1c0","","b762652d-486d-4bfc-a94e-aa08e5a259c3",""
"Royal Society","Sold to","W.Arnold","8c4bbe21-5bbe-472e-b976-b2f41683c59d","","e9596d0a-8eac-4d9d-a86e-afad19c1ef58",""
"Hagen","Sold to","Shakespeare Library","b762652d-486d-4bfc-a94e-aa08e5a259c3","","4c45ef7c-2200-44c4-ba43-32b66414aea2",""
"Britwell","Sold to","Seth Terry","a2f97611-8e63-4271-8bfc-5df46a936167","","7b698d20-ade0-4cd2-b096-0701b77ae759",""
"Charles  Lilburn","Sold to","Hagen","621b765d-08c7-4687-9d26-fdc509576c57","","cfcb0060-f4c7-4dce-83d4-16e008c0dcb9",""
"F.P.Hodges","Sold to","Charles  Lilburn","f0fb15ba-3ad5-4fc6-b212-0e1b353b5b47","","621b765d-08c7-4687-9d26-fdc509576c57",""
"W.Arnold","Sold to","Hagen","e9596d0a-8eac-4d9d-a86e-afad19c1ef58","","bb42da39-d0d7-42f3-b289-eca6336dacd4",""
