"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lefferts","Sold to","Hagen","8f9dbcef-2b8b-43da-a6a2-8d213c86b18f","","5f0aa648-73dc-43ce-8ec4-1bfed2d3b491",""
"Lefferts","Sold to","Hagen","01dd49fb-3a08-4da3-aaf5-2c5981d50ceb","","b22241f6-add3-459e-900d-8db8e5133fea",""
"Lefferts","Sold to","Hagen","73ad5306-f97b-47bb-9986-e16a3a109fbe","","e2284937-2500-42d9-8514-dc3790cdbc7c",""
"Lefferts","Sold to","Hagen","e55b6d66-8753-4a26-a1f0-c5bdbc3f2dfd","","da2db3a7-693a-41ec-a2f4-7ee8e0015b9c",""
"Halliwell Phillipps","Sold to","Hagen","b77b9d33-0e84-4a16-b134-2ec9d6227dec","","ff5040b0-699e-4141-b9fe-60e59e80a338",""
"Devonshire","Sold to","Huntington","e8c8a8dc-68eb-4b12-9265-37c924a66b42","","5a845b27-2d12-4e94-9d88-b36c9813e111",""
"Kemble","Sold to","Devonshire","1402efdf-f06f-4d20-a2ea-60ee4a4c501e","","e8c8a8dc-68eb-4b12-9265-37c924a66b42",""
"Halsey","Sold to","Huntington","0b334b19-0b72-4e08-b7e6-15fbe501ed4c","","40be3ee8-40eb-447b-adf4-8357a8777489",""
