"source","relation","target","source_id","source_tags","target_id","target_tags"
"Lamport Hall","Sold to","Britwell","16868952-3480-4da6-bd84-49b28862d040","","fe8d54ca-c156-4806-a386-48bd6fa3eddc",""
"Charles Viscount Bruce of Ampthill","Next in chain","Sotheby","5b626636-d017-48dd-940d-fdcebb65167a","","217975c9-e8ac-4380-b546-d44d2844c806",""
"Sotheby’s","Sold to","Alfred Morrison","303f63c6-a34a-412a-a642-5399447a5993","","e3527b7c-86d6-49df-b519-eabc9e6b7eb4",""
"Bindley","Sold to","Heber","227e1328-bf2e-483c-8da6-cf747322cb6b","","9637bcbc-cd64-4a94-91b7-0dac453e927d",""
"Sotheby","Next in chain","P.M.Barnard","217975c9-e8ac-4380-b546-d44d2844c806","","cf47c4bb-43b9-489d-bca6-5abb3496ea9e",""
"Britwell","Sold to","Clawson","145bec3b-b717-4143-abf2-7f8a39cea91a","","4d74ea33-7ec7-4d17-8398-d555be2996ba",""
"Heber","Sold to","Britwell","9637bcbc-cd64-4a94-91b7-0dac453e927d","","145bec3b-b717-4143-abf2-7f8a39cea91a",""
"Sotheby’s","Sold to","Alfred Morrison","54856c33-0de0-46de-96a4-2fd1bb29e5cc","","0ea466c2-ce64-46bd-9f86-cbabb215f6a8",""
"Farmer","Sold to","Ross Winans","1a8371dd-d332-45be-9caf-cf2c70a6fb73","","068b6c75-ac11-496b-9a25-eb5d78f6ff4e",""
