"source","relation","target","source_id","source_tags","target_id","target_tags"
"Pepys Papers","Sold to","Alfred  Morrison","f1a224fe-82d1-4e45-80e1-bc9855cd2149","","f8d6613e-fd22-404d-85ee-3a47439eaaf3",""
"Sotheby’s","Sold to","Alfred Morrison","d814f00c-3ff8-419f-a3d0-299efb82fe29","","5ed9886e-dc67-4f51-963a-269113ab395c",""
"Pepys Papers","Sold to","Alfred Morrison","0ce41766-61a5-4c79-9d5e-c87746d8dc3a","","7da54970-1b81-4978-925e-2825d09a9089",""
"Sotheby’s","Sold to","Alfred Morrison","5f8c3387-5119-4811-ab00-4a96be258512","","12b4a9f7-036a-4e74-90f9-842b6b9350ed",""
