"source","relation","target","source_id","source_tags","target_id","target_tags"
"Kemble","Sold to","Devonshire","b2aa69a0-f821-495a-a6b8-713f71de7829","","15d8df1b-dfb9-461b-a373-3e60e3596de3",""
"William Cowan","Sold to","P.M.Pittar","c36bade5-2106-4101-9829-7fdc6d3461fb","","950b25f0-ddde-4d2d-b36c-6a7795a3668d",""
"P.M.Pittar","Sold to","Sotheby","950b25f0-ddde-4d2d-b36c-6a7795a3668d","","38764ab0-68f7-462e-88a9-1e49ead913d2",""
"he Roxburghe","Sold to","Kemble","12bd6bec-a081-4926-ac21-5a7dac5c6942","","b2aa69a0-f821-495a-a6b8-713f71de7829",""
"Devonshire","Sold to","Huntington 
(private)","15d8df1b-dfb9-461b-a373-3e60e3596de3","","b2fd7a27-06e9-4125-89ab-408047a28aaa",""
"The R.S.Turner","Sold to","William Cowan","3294c7dc-7173-4bf7-9d7b-086addff825d","","c36bade5-2106-4101-9829-7fdc6d3461fb",""
