"source","relation","target","source_id","source_tags","target_id","target_tags"
"The Bliss","Sold to","Huth","d1e81d72-d878-4763-93ee-579241be8170","","d7706d51-8aed-42af-bfde-fb1528a17765",""
"The Hoe","Sold to","Huntington","8433f685-fd4b-4dfc-8622-8c02a78da9b4","","230e98fd-a8e9-4e11-b833-fc0db1f775c1",""
"Huntington","Sold to","English Literature from London","230e98fd-a8e9-4e11-b833-fc0db1f775c1","","62d9dcbf-3915-478f-93b2-508057a5846c",""
"Huth","Sold to","Clawson","d7706d51-8aed-42af-bfde-fb1528a17765","","386f2138-8fef-47b4-9c96-3feed2ca6014",""
